data;stazione;numPassaggio;codiceSpecie;lunghezza;peso;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;98;9;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;102;10;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;82;5;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;84;5;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;87;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;89;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;92;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;94;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;63;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;63;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;66;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;77;5;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;110;14;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;102;13;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;114;17;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;111;12;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;104;10;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;55;1;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;GH;86;5;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;GH;87;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;GH;87;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;GH;88;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;GH;89;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;GH;89;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;GH;90;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;GH;91;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;GH;92;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;GH;92;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;GH;93;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;GH;94;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;GH;94;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;95;7;;;;;;;;;;;;;;;;;;;;;
